SCRIPT_CHAPTER1_0_0,1,0,CHAPTER1,소녀. 엘. 다섯 살.,1
SCRIPT_CHAPTER1_0_1,1,0,CHAPTER1,시간이 흘러도 그날의 악몽은 사라지지 않았다.,1
SCRIPT_CHAPTER1_0_2,1,0,CHAPTER1,사랑하는 부모가 눈앞에서 차갑게 식어가던 그 광경.,1
SCRIPT_CHAPTER1_0_3,1,0,CHAPTER1,그 끔찍한 기억은 매일 밤 꿈속에서 되살아나 그녀를 괴롭혔다.,0.5
SCRIPT_CHAPTER1_0_4,1,0,CHAPTER1,,0.5
SCRIPT_CHAPTER1_0_5,1,0,CHAPTER1,평화로운 숲에서 지내던 어느 날 엘은 입술을 깨물며 말했다.,0.5
SCRIPT_CHAPTER1_0_6,1,0,CHAPTER1,,0.5
SCRIPT_CHAPTER1_0_7,1,0,CHAPTER1,“...강해지고 싶어요. 당신처럼.”,0.5
SCRIPT_CHAPTER1_0_8,1,0,CHAPTER1,,0.5
SCRIPT_CHAPTER1_0_9,1,0,CHAPTER1,남자는 잠시 눈길을 고정한 채 엘을 지켜보았다.,0.5
SCRIPT_CHAPTER1_0_10,1,0,CHAPTER1,,0.5
SCRIPT_CHAPTER1_0_11,1,0,CHAPTER1,“저에게 검을 알려주세요.,1
SCRIPT_CHAPTER1_0_12,1,0,CHAPTER1,그때처럼 무력하게 모든 걸 잃고 싶지 않아요.,1
SCRIPT_CHAPTER1_0_13,1,0,CHAPTER1,이제는 소중한 것들을 지키고 싶습니다.”,0.5
SCRIPT_CHAPTER1_0_14,1,0,CHAPTER1,,0.5
SCRIPT_CHAPTER1_0_15,1,0,CHAPTER1,남자는 대답 대신 침묵으로 응했다.,1
SCRIPT_CHAPTER1_0_16,1,0,CHAPTER1,그 눈빛은 쉽게 읽히지 않았다.,1
SCRIPT_CHAPTER1_0_17,1,0,CHAPTER1,길고 긴 정적 끝에 그의 입이 열렸다.,1
SCRIPT_CHAPTER1_0_18,1,0,CHAPTER1,“...좋다.”,0.5
SCRIPT_CHAPTER1_0_19,1,0,CHAPTER1,,0.5
SCRIPT_CHAPTER1_0_20,1,0,CHAPTER1,내심 거절당할까 불안했던 엘의 얼굴이 환하게 밝아졌다.,0.5
SCRIPT_CHAPTER1_0_21,1,0,CHAPTER1,“정말—”,0.5
SCRIPT_CHAPTER1_0_22,1,0,CHAPTER1,,0.5
SCRIPT_CHAPTER1_0_23,1,0,CHAPTER1,“하지만.”,1
