CHOICE_SUB_1,1,1,1,NONE,EVENT,집에서 쉬기,{1}오늘은 집에서 쉬기로 했다.,70,{1}고된 훈련의 피로를 풀었다.{1}체력을 회복했다.,{1}고양이가 시끄럽게 울어대는 탓에 편히 쉬지 못했다.,HP_10,HP_-10,
CHOICE_SUB_2,1,1,1,NONE,EVENT,수련 하기,{1}오늘도 묵묵히 검을 휘둘렀다.{1}소중한 것들을 지키기 위해.,50,"{1}하루 종일 훈련했더니, 해가 저물어간다.{1}오늘도 보람한 하루를 보냈다.",{1}무리하게 검을 휘두르다 근육통이 생겼다.,PC_0000,HP_-10,
CHOICE_SUB_3,1,1,0,CHOICE_SUB_7,BATTLE,바스락 거리는 소리를 따라간다,"{1}바스락 거리는 소리가 들려 숲으로 가던 때.{1}""어이 꼬마! 숲에선 혼자 다니면 안되지!""{1}말과 동시에 숲에서 사람이 튀어나왔다.{1}엘은 긴장하며 검에 손을 올렸다.",100,"{1}""내가 꼬마한테 지다니...""{1}엘은 힘겹게 도적을 물리쳤다.",NONE,PC_0000/GOLD_100,NONE,
CHOICE_SUB_4,1,1,1,NONE,EVENT,마을에 간다,{1}한 숨 돌릴 겸 마을로 향했다.,100,{1}마을에 도착했다.,NONE,NONE,NONE,
CHOICE_SUB_5,1,1,0,CHOICE_SUB_4,EVENT,과일 가게 들르기,{1}색색의 과일이 눈에 띈다.,80,{1}달콤한 과일을 샀다.,{1}돈을 흘려 잃었다.,HP_10,GOLD_-10,GOLD>=10
CHOICE_SUB_6,1,1,0,CHOICE_SUB_4,EVENT,무기상점 구경,{1}반짝이는 검이 눈에 띈다.,70,{1}날이 잘 선 단검을 발견했다.,{1}상인에게 쫓겨났다.,PC_0000,NONE,GOLD>=10
CHOICE_SUB_7,1,1,1,NONE,EVENT,숲으로 산책을 간다,{1}나무 사이로 바람이 스친다.,100,{1}기분 좋은 새소리가 들려온다.,NONE,NONE,NONE,
CHOICE_SUB_8,1,1,0,CHOICE_SUB_7,EVENT,버섯 채집,{1}낙엽 아래 버섯을 발견했다.,75,{1}식용 버섯을 챙겼다.,{1}독버섯을 만졌다.,HP_15,HP_-15,
CHOICE_SUB_9,1,1,0,CHOICE_SUB_7,EVENT,새 관찰,{1}푸드덕 소리와 함께 새들이 날아간다.,85,{1}드문 새 깃털을 얻었다.,{1}새들이 놀라 달아났다.,PC_0000,NONE,
CHOICE_SUB_10,1,1,1,NONE,EVENT,강가로 가기,{1}잔잔한 물결이 반짝인다.,100,{1}흐르는 물결을 보니 마음이 평안해진다.,NONE,NONE,NONE,
CHOICE_SUB_11,1,1,0,CHOICE_SUB_10,EVENT,돌 던지기,{1}평평한 돌을 주워 물 위에 던진다.,80,{1}돌이 일곱 번 튕겼다!,{1}돌이 바로 가라앉았다.,GOLD_10,NONE,
CHOICE_SUB_12,1,1,0,CHOICE_SUB_10,EVENT,물고기 잡기,{1}두 손으로 물살을 가르며 물고기를 잡는다.,65,{1}작은 물고기를 잡았다.,{1}물만 튀기고 말았다.,PC_0000,HP_-10,
CHOICE_SUB_13,1,1,1,NONE,EVENT,우물에서 물 길어오기,{1}양동이를 들고 우물가로 향한다.,85,{1}흘림 없이 물을 가득 길어왔다.,{1}발을 헛디뎌 물을 조금 흘렸다.,HP_10,HP_-10,HP>=10
CHOICE_SUB_14,1,1,1,NONE,EVENT,마당 쓸기,{1}빗자루를 손에 쥐고 낙엽을 모은다.,90,{1}마당이 말끔해져 기분이 상쾌하다.,{1}먼지가 눈에 들어가 따갑다.,GOLD_5,HP_-10,
CHOICE_SUB_15,1,1,1,CHOICE_SUB_4,EVENT,심부름,{1}마침 심부름을 부탁받아 상점으로 갔다.{1}상인과 눈치를 주고받으며 값을 흥정한다.,60,{1}값 깎기에 성공했다!,{1}흥정에 실패했다.,GOLD_20,GOLD_-5,GOLD>=5
CHOICE_SUB_16,1,1,1,NONE,EVENT,울타리 보수하기,{1}못과 망치로 삐걱이는 판자를 고정한다.,75,{1}틈이 메워져 바람이 새지 않는다.,{1}손가락을 망치로 살짝 찧었다.,GOLD_10,HP_-15,PC_0000
